model,regularization,lambda,error,rmse,activation_fn,epochs,minibatch_size
"[13, 64, 1]",None,0,2175910703.680902,63431.866436737946,relu,70,32
"[13, 128, 1]",None,0,2153520608.2954197,62870.69426464714,relu,70,32
"[13, 64, 32, 1]",None,0,1608589177.8461394,55509.801667288586,relu,70,32
"[13, 128, 32, 1]",None,0,1549858617.7606943,55085.75894167263,relu,70,32
"[13, 128, 64, 1]",None,0,1539013901.7313013,54296.09384991163,relu,70,32
"[13, 128, 64, 32, 1]",None,0,1365323870.3863227,54406.65354941406,relu,70,32
"[13, 128, 64, 64, 1]",None,0,1879363021.3939128,63782.026171442434,relu,70,32
"[13, 128, 64, 64, 1]",L1,0.001,1434363587.5526364,54187.47983002442,relu,70,32
"[13, 128, 64, 64, 1]",L2,0.001,1332956376.463594,53507.689837345824,relu,70,32
"[13, 128, 64, 64, 1]",L1,0.1,1551784780.8790948,57027.3134165942,relu,70,32
"[13, 128, 64, 64, 1]",L2,0.1,1347439379.1752713,53451.24099590898,relu,70,32
"[13, 64, 1]",None,0,14944596049.553423,171782.00128397808,tanh,70,32
"[13, 128, 1]",None,0,7994615144.200528,126052.93438555983,tanh,70,32
"[13, 64, 32, 1]",None,0,20617174146.681496,201777.2296704763,tanh,70,32
"[13, 128, 32, 1]",None,0,20616861536.166878,201775.6973311952,tanh,70,32
"[13, 128, 64, 1]",None,0,14944275636.672293,171780.16250456273,tanh,70,32
"[13, 128, 64, 32, 1]",None,0,20616941809.222412,201776.0908109157,tanh,70,32
"[13, 128, 64, 64, 1]",None,0,14944005127.150745,171778.61009457445,tanh,70,32
"[13, 128, 64, 64, 1]",L1,0.001,14944005127.153925,171778.61009457655,tanh,70,32
"[13, 128, 64, 64, 1]",L2,0.001,14944005130.388885,171778.61009457524,tanh,70,32
"[13, 128, 64, 64, 1]",L1,0.1,14944005127.52663,171778.61009515656,tanh,70,32
"[13, 128, 64, 64, 1]",L2,0.1,14944005450.967834,171778.61009468557,tanh,70,32
"[13, 128, 1]",None,0,2138808225.7311726,62948.053785923505,relu,80,128
"[13, 128, 1]",None,0,20037718992.234333,198884.24698613587,tanh,80,128
"[13, 128, 1]",L1,0.001,2143969122.0201597,62957.35712297701,relu,80,128
"[13, 128, 1]",L2,0.001,2140367800.2208488,63027.25259557239,relu,80,128
"[13, 128, 1]",L1,0.001,20036536884.858154,198878.37116818226,tanh,80,128
"[13, 128, 1]",L2,0.001,20037228541.511345,198881.80915548108,tanh,80,128
"[13, 128, 1]",L1,0.1,2145077836.7462652,62992.00341061788,relu,80,128
"[13, 128, 1]",L2,0.1,2147365682.7207253,63000.22230391195,relu,80,128
"[13, 128, 1]",L1,0.1,20036987642.585205,198880.6117371799,tanh,80,128
"[13, 128, 1]",L2,0.1,20036769238.228683,198879.525876111,tanh,80,128
"[13, 128, 32, 1]",None,0,1539218081.6630592,56379.624992733836,relu,80,128
"[13, 128, 32, 1]",None,0,25793060614.796947,225711.5798318934,tanh,80,128
"[13, 128, 32, 1]",L1,0.001,1563982758.796746,56372.382553961186,relu,80,128
"[13, 128, 32, 1]",L2,0.001,1519693542.4637601,55630.88715614565,relu,80,128
"[13, 128, 32, 1]",L1,0.001,25793416353.96192,225713.14082786295,tanh,80,128
"[13, 128, 32, 1]",L2,0.001,25793416354.08916,225713.1408278629,tanh,80,128
"[13, 128, 32, 1]",L1,0.1,1490162749.9136317,55247.720397840836,relu,80,128
"[13, 128, 32, 1]",L2,0.1,1544277237.5099306,56167.513294191485,relu,80,128
"[13, 128, 32, 1]",L1,0.1,25793416354.010063,225713.14082788932,tanh,80,128
"[13, 128, 32, 1]",L2,0.1,25793416366.731667,225713.14082786796,tanh,80,128
"[13, 128, 64, 1]",None,0,1590324919.9738607,58574.20537195035,relu,80,128
"[13, 128, 64, 1]",None,0,23760159352.991684,216610.01460512175,tanh,80,128
"[13, 128, 64, 1]",L1,0.001,1499609986.1275306,55781.206667908475,relu,80,128
"[13, 128, 64, 1]",L2,0.001,1404189100.672146,53433.11588630514,relu,80,128
"[13, 128, 64, 1]",L1,0.001,23760159352.99244,216610.0146051213,tanh,80,128
"[13, 128, 64, 1]",L2,0.001,23760159353.24315,216610.0146051219,tanh,80,128
"[13, 128, 64, 1]",L1,0.1,1439855254.285116,55140.59315715609,relu,80,128
"[13, 128, 64, 1]",L2,0.1,1408016728.3300948,53728.54589388327,relu,80,128
"[13, 128, 64, 1]",L1,0.1,23760159353.08603,216610.01460517733,tanh,80,128
"[13, 128, 64, 1]",L2,0.1,23760159378.135033,216610.0146051289,tanh,80,128
"[13, 128, 64, 32, 1]",None,0,1522061743.7279809,56309.63483506688,relu,80,128
"[13, 128, 64, 32, 1]",None,0,25793382895.41354,225712.9940110341,tanh,80,128
"[13, 128, 64, 32, 1]",L1,0.001,1554295285.570283,57206.159210672915,relu,80,128
"[13, 128, 64, 32, 1]",L2,0.001,1476703380.9449315,56616.230746008885,relu,80,128
"[13, 128, 64, 32, 1]",L1,0.001,25793382895.41406,225712.9940110343,tanh,80,128
"[13, 128, 64, 32, 1]",L2,0.001,25793382895.541267,225712.9940110342,tanh,80,128
"[13, 128, 64, 32, 1]",L1,0.1,1499139467.1273391,56142.26483675436,relu,80,128
"[13, 128, 64, 32, 1]",L2,0.1,1434997682.864816,55123.71170418883,relu,80,128
"[13, 128, 64, 32, 1]",L1,0.1,25793382895.465023,225712.99401106115,tanh,80,128
"[13, 128, 64, 32, 1]",L2,0.1,25793382908.1858,225712.99401104212,tanh,80,128
"[13, 128, 64, 64, 1]",None,0,1583050753.0287478,57317.70235546443,relu,80,128
"[13, 128, 64, 64, 1]",None,0,23760012006.100086,216609.3412459544,tanh,80,128
"[13, 128, 64, 64, 1]",L1,0.001,1576429449.2452247,57312.193575574725,relu,80,128
"[13, 128, 64, 64, 1]",L2,0.001,1725238049.3924966,60264.25455678683,relu,80,128
"[13, 128, 64, 64, 1]",L1,0.001,23760012006.101074,216609.34124595506,tanh,80,128
"[13, 128, 64, 64, 1]",L2,0.001,23760012006.351585,216609.34124595462,tanh,80,128
"[13, 128, 64, 64, 1]",L1,0.1,1626439908.6735249,57580.72803694422,relu,80,128
"[13, 128, 64, 64, 1]",L2,0.1,1570797717.5153666,57052.48664378604,relu,80,128
"[13, 128, 64, 64, 1]",L1,0.1,23760012006.199394,216609.341246024,tanh,80,128
"[13, 128, 64, 64, 1]",L2,0.1,23760012031.247944,216609.34124596926,tanh,80,128
"[13, 128, 1]",None,0,2137465596.7740748,63004.46203237852,relu,80,128
"[13, 128, 1]",None,0,20035637676.895348,198873.90142419754,tanh,80,128
"[13, 128, 1]",L1,0.001,2144401448.5195782,62996.761045078885,relu,80,128
"[13, 128, 1]",L2,0.001,2151646309.455406,63077.39705493408,relu,80,128
"[13, 128, 1]",L1,0.001,20037414971.727837,198882.73582907242,tanh,80,128
"[13, 128, 1]",L2,0.001,20036781504.697403,198879.58709432173,tanh,80,128
"[13, 128, 1]",L1,0.1,2139753011.1559958,62911.17381645696,relu,80,128
"[13, 128, 1]",L2,0.1,2145086859.1340952,63020.575516740064,relu,80,128
"[13, 128, 1]",L1,0.1,20036714666.197884,198879.2548634438,tanh,80,128
"[13, 128, 1]",L2,0.1,20036828130.060658,198879.8186079731,tanh,80,128
"[13, 128, 64, 1]",None,0,1476289757.067625,55185.51311570558,relu,80,128
"[13, 128, 64, 1]",None,0,23759803781.999973,216608.3896810794,tanh,80,128
"[13, 128, 64, 1]",L1,0.001,1455026252.6243196,55060.066858563114,relu,80,128
"[13, 128, 64, 1]",L2,0.001,1440957001.762883,54832.910998865336,relu,80,128
"[13, 128, 64, 1]",L1,0.001,23760159352.99244,216610.01460512134,tanh,80,128
"[13, 128, 64, 1]",L2,0.001,23760159353.24315,216610.0146051219,tanh,80,128
"[13, 128, 64, 1]",L1,0.1,1487690680.6274974,55579.73321214381,relu,80,128
"[13, 128, 64, 1]",L2,0.1,1410612334.9327166,54400.96095696391,relu,80,128
"[13, 128, 64, 1]",L1,0.1,23760159353.08603,216610.01460517733,tanh,80,128
"[13, 128, 64, 1]",L2,0.1,23760159378.135036,216610.0146051289,tanh,80,128
"[13, 128, 64, 64, 1]",None,0,1610988613.0657136,57646.84373485823,relu,80,128
"[13, 128, 64, 64, 1]",None,0,23760012006.100086,216609.34124595436,tanh,80,128
"[13, 128, 64, 64, 1]",L1,0.001,1546315192.5790026,56775.9091934375,relu,80,128
"[13, 128, 64, 64, 1]",L2,0.001,1570171759.0015705,57806.25656136221,relu,80,128
"[13, 128, 64, 64, 1]",L1,0.001,23760012006.101074,216609.34124595503,tanh,80,128
"[13, 128, 64, 64, 1]",L2,0.001,23760012006.35158,216609.34124595462,tanh,80,128
"[13, 128, 64, 64, 1]",L1,0.1,1578045072.7028418,56229.74061603434,relu,80,128
"[13, 128, 64, 64, 1]",L2,0.1,1566450230.513439,56975.038708116794,relu,80,128
"[13, 128, 64, 64, 1]",L1,0.1,23760012006.199394,216609.34124602398,tanh,80,128
"[13, 128, 64, 64, 1]",L2,0.1,23760012031.247944,216609.34124596926,tanh,80,128
